,name,rating,reviews,type,hq,old,employees
9135,Sequretek It Solutions,3.6,78,Startup,Mumbai +6 more,11 years old,201-500 Employees
9136,Defsys Solutions,3.1,77,17 years old,,Gurgaon/Gurugram +5 more,51-200 Employees
9137,Hester Biosciences,4.1,77,Public,Ahmedabad +11 more,41 years old,201-500 Employees
9138,JPAL,4.5,77,21 years old,,Cambridge +25 more,51-200 Employees
9139,Chaitanya Projects Consultancy,3.8,77,Noida +23 more,,,51-200 Employees
9140,Benzo Chem Industries,3.3,77,42 years old,,Mumbai +9 more,51-200 Employees
9141,Precision Group,3.8,77,Chennai +26 more,,,1k-5k Employees
9142,STAR TV,4.0,77,33 years old,,Mumbai +15 more,201-500 Employees (Global)
9143,Xpitax Solutions,4.2,77,18 years old,,Chennai +2 more,11-50 Employees
9144,Ozonegroup,3.7,77,21 years old,,Bangalore/Bengaluru +8 more,501-1k Employees
9145,Infodart Technologies,2.8,77,17 years old,,Gurgaon/Gurugram +12 more,201-500 Employees
9146,Windcare India,2.8,77,23 years old,,Gudimangalam +7 more,201-500 Employees
9147,Haldex India,3.9,77,28 years old,,Nashik +2 more,51-200 Employees
9148,SeedWorks International,4.5,77,26 years old,,Hyderabad +26 more,201-500 Employees
9149,TeraSoftware,3.9,77,Public,Hyderabad +22 more,30 years old,501-1k Employees
9150,Manikgarh Cement,4.3,77,37 years old,,Chandrapur +11 more,201-500 Employees
9151,NeST Information Technologies,4.4,77,26 years old,,Kochi/Cochin +4 more,501-1k Employees
9152,Johnson Electric,3.5,77,65 years old,,Shatin +7 more,51-200 Employees
9153,ISG,3.8,77,Stamford +8 more,,,18 years old
9154,AJ Hospital and Research Centre,3.6,77,23 years old,,Mangalore +2 more,501-1k Employees (Global)
9155,Merlin Group,4.1,77,40 years old,,Kolkata +6 more,51-200 Employees (Global)
9156,Good Health Tpa Services,3.4,77,21 years old,,Hyderabad +13 more,1k-5k Employees
9157,General Motors Technical Centre India,4.5,77,28 years old,,Detroit +3 more,1k-5k Employees
9158,Dynamic Engineering,3.6,77,Public,Houston +22 more,42 years old,51-200 Employees
9159,BESIX,4.1,77,Woluwe-Saint-Lambert +7 more,,,115 years old
9160,Maiyas Beverages Foods,3.2,77,36 years old,,Bengaluru +11 more,201-500 Employees
9161,Advanced Medtech Solutions,3.6,77,11 years old,,Vadodara +12 more,51-200 Employees
9162,Savvysoft Technologies,4.3,77,25 years old,,Chicago +4 more,201-500 Employees
9163,KGL,3.3,77,,,,Mumbai +7 more
9164,Sac Engine Components,3.7,77,38 years old,,Chennai +2 more,501-1k Employees
9165,Usha Fire Safety Equipments,3.6,77,36 years old,,Chennai +14 more,51-200 Employees
9166,Antal International,3.3,77,31 years old,,London +9 more,51-200 Employees
9167,Indeed,3.9,77,20 years old,,Austin +16 more,1k-5k Employees
9168,Carestream Health,3.8,77,17 years old,,New York +12 more,201-500 Employees
9169,Spear Logistics,4.1,77,23 years old,,Pune +15 more,1k-5k Employees (Global)
9170,Patni Computer Systems,4.4,77,82 years old,,Mumbai +13 more,51-200 Employees
9171,SSM InfoTech Solutions,3.1,77,23 years old,,Surat +6 more,51-200 Employees
9172,Mersen,3.2,77,Courbevoie +4 more,,,133 years old
9173,Crystal Travel,4.3,77,37 years old,,London +1 more,201-500 Employees
9174,NNE,3.6,77,Public,Virum +8 more,33 years old,201-500 Employees
9175,Copart,3.9,77,Forbes Global 2000,Dellas +2 more,42 years old,201-500 Employees
9176,Norwin Technologies,4.0,77,24 years old,,Danvers +4 more,201-500 Employees
9177,Snap-on Business Solutions,3.9,77,28 years old,,Richfield +5 more,201-500 Employees
9178,Alacrity Ecommerce Solutions Private Limited,3.4,77,14 years old,,Nagpur,201-500 Employees
9179,Redington Group,3.9,77,Chennai +12 more,,,1k-5k Employees
9180,Rashi Peripherals,3.4,77,35 years old,,Mumbai +21 more,1k-5k Employees
9181,Zee News,4.0,77,Public,Noida +11 more,25 years old,10k-50k Employees
9182,Interglobe Technology Quotient,3.9,77,30 years old,,Gurgaon +13 more,201-500 Employees
9183,BPO Systems,4.1,77,24 years old,,Walnut Creek +28 more,51-200 Employees (Global)
9184,Customer Analytics,4.2,77,31 years old,,Chennai +4 more,201-500 Employees
9185,Danaher,3.7,77,Forbes Global 2000,Washington +10 more,40 years old,1k-5k Employees
9186,UB Engineering,4.7,77,Public,Pune +18 more,61 years old,51-200 Employees
9187,Arteria Technologies,2.6,77,17 years old,,Bangalore/Bengaluru +3 more,201-500 Employees
9188,Integrated Resources,2.6,77,28 years old,,Edison +5 more,51-200 Employees
9189,JK Organisation,3.8,77,Conglomerate,Delhi/NCR +22 more,136 years old,10k-50k Employees
9190,N K Buildcon,4.7,77,29 years old,,Jaipur +8 more,51-200 Employees
9191,Jaipur Vidyut Vitran Nigam,3.8,77,State,,Jaipur +13 more,11-50 Employees
9192,Planit Testing India,3.7,77,27 years old,,Sydney +4 more,201-500 Employees
9193,Vhb Medi Sciences,3.6,77,78 years old,,Mumbai +3 more,1k-5k Employees
9194,SPJ group,2.3,77,62 years old,,New Delhi +9 more,11-50 Employees
9195,M.B.A Consulting India,3.5,77,11 years old,,Noida +9 more,501-1k Employees
9196,Fourth Partner Energy,4.3,77,14 years old,,Hyderabad +11 more,201-500 Employees
9197,VRP Telematics,3.7,77,19 years old,,New Delhi +16 more,201-500 Employees
9198,Lifcare Pharmacy,3.9,77,9 years old,,Noida +7 more,51-200 Employees
9199,Bubugao Communication,4.3,77,,,,Jaipur +20 more
9200,Mersen,3.2,77,Courbevoie +4 more,,,133 years old
9201,STAR TV,4.0,77,33 years old,,Mumbai +15 more,201-500 Employees (Global)
9202,Zee News,4.0,77,Public,Noida +11 more,25 years old,10k-50k Employees
9203,Interglobe Technology Quotient,3.9,77,30 years old,,Gurgaon +13 more,201-500 Employees
9204,JPAL,4.5,77,21 years old,,Cambridge +25 more,51-200 Employees
9205,Johnson Electric,3.5,77,65 years old,,Shatin +7 more,51-200 Employees
9206,ISG,3.8,77,Stamford +8 more,,,18 years old
9207,Vee Gee Auto Components,4.0,77,,,,Faridabad +5 more
9208,The Walt Disney Company,4.1,77,Forbes Global 2000,Burbank +13 more,101 years old,5k-10k Employees
9209,Seco Komos Automotive,3.9,77,57 years old,,Hwaseong-si +4 more,201-500 Employees (Global)
9210,Das Writing Services,3.9,77,13 years old,,Kolkata +1 more,51-200 Employees
9211,Ami Polymer,3.4,77,28 years old,,Mumbai +7 more,201-500 Employees
9212,Techflow Engineers India,4.4,77,29 years old,,Navi Mumbai +10 more,201-500 Employees (Global)
9213,White Globe,3.4,77,9 years old,,Pune +6 more,51-200 Employees
9214,iServeU,3.1,77,8 years old,, Plot No. E-12 +4 more,201-500 Employees
9215,Fourth Partner Energy,4.3,77,14 years old,,Hyderabad +11 more,201-500 Employees
9216,VRP Telematics,3.7,77,19 years old,,New Delhi +16 more,201-500 Employees
9217,Lifcare Pharmacy,3.9,77,9 years old,,Noida +7 more,51-200 Employees
9218,Tv9,4.1,77,20 years old,,Hyderabad +6 more,5k-10k Employees (Global)
9219,M.B.A Consulting India,3.5,77,11 years old,,Noida +9 more,501-1k Employees
9220,Parle International,3.4,77,,,,
9221,Dewar's Garage,3.5,77,29 years old,,Kolkata,201-500 Employees
9222,Gsp Power Projects,4.0,77,29 years old,,New Delhi +26 more,51-200 Employees
9223,Marwadi University,3.8,77,8 years old,,Rajkot +4 more,201-500 Employees
9224,Crystal Ceramic Industries,2.5,77,27 years old,,Ahemdabad +24 more,51-200 Employees
9225,Skylex Technologies,3.1,77,Pune +1 more,,,8 years old
9226,WIL Car Wheels,4.0,77,Chennai +6 more,,,7 years old
9227,Securonix,2.9,77,17 years old,,Addison +3 more,1k-5k Employees
9228,Josh Software,3.2,77,Dallas +1 more,,,201-500 Employees
9229,ImpactQA,3.6,77,13 years old,,New York +3 more,201-500 Employees
9230,AMW Motors,4.2,77,22 years old,,Mumbai +21 more,1-10 Employees
9231,ECIL RAPISCAN,4.3,77,29 years old,,Hyderabad +16 more,201-500 Employees
9232,Pearson,4.4,77,Conglomerate,London +12 more,180 years old,10k-50k Employees (Global)
9233,White Globe,3.4,77,9 years old,,Pune +6 more,51-200 Employees
9234,iServeU,3.1,77,8 years old,, Plot No. E-12 +4 more,201-500 Employees
9235,Roha Housing Finance,3.7,77,Noida +22 more,,,51-200 Employees
9236,AND India,4.0,77,,,,
9237,The Souled Store,3.2,77,Startup,Mumbai +7 more,11 years old,201-500 Employees
9238,Aditya Birla Insurance Brokers,4.0,77,Public,Veraval +17 more,21 years old,201-500 Employees
9239,Trufedu Budgetary Education,3.7,77,Bengaluru/Bangalore +10 more,,,11-50 Employees
9240,Apollo Cradle,3.8,77,Hyderabad +10 more,,,12 years old
9241,Tracks Components,3.3,77,Gurgaon +7 more,,,22 years old
9242,Reliance Infocomm Engineering,4.0,77,Mumbai +41 more,,,10k-50k Employees
9243,Affordplan,2.7,77,Startup,Delhi +13 more,8 years old,201-500 Employees
9244,Kips Learning Private Limited,4.5,77,29 years old,,Noida +20 more,51-200 Employees
9245,Vowelweb,4.8,77,11 years old,,Nagpur +2 more,51-200 Employees
9246,Infra Construction,4.2,77,,,,Hyderabad/Secunderabad +27 more
9247,Allyis India,3.3,77,28 years old,,Hyderabad +1 more,201-500 Employees
9248,Bluefield Technologies,4.7,77,Bengaluru/Bangalore +2 more,,,51-200 Employees
9249,Saarloha Advanced Materials,3.2,77,,,,Pune +3 more
9250,Saburi TLC,3.0,77,12 years old,,Gurgaon/Gurugram +2 more,51-200 Employees
9251,Zen Technologies,3.2,77,Public,Hyderabad +4 more,31 years old,201-500 Employees
9252,Lotus Valley International School,3.9,76,20 years old,,Noida +6 more,201-500 Employees
9253,Derewala Jewellery Industries,3.3,76,37 years old,,Jaipur,201-500 Employees
9254,Assam down town University,2.9,76,14 years old,,Guwahati,201-500 Employees
9255,Khosla Profil,3.1,76,45 years old,,Mumbai +6 more,501-1k Employees
9256,Seneca Global IT Services,4.2,76,17 years old,,Oak Brook,201-500 Employees
9257,NSHM Knowledge Campus,3.5,76,28 years old,,Kolkata +2 more,51-200 Employees
9258,Pokarna,4.1,76,Public,Hyderabad/Secunderabad +3 more,23 years old,201-500 Employees
9259,Contata Solutions,4.0,76,24 years old,,Minneapolis +2 more,51-200 Employees
9260,GETIT Infoservices,2.8,76,38 years old,,Delhi +21 more,11-50 Employees
9261,RDM India,3.4,76,32 years old,,New Delhi +4 more,501-1k Employees
9262,HR+,4.1,76,18 years old,,Ashford +24 more,1-10 Employees (Global)
9263,Infosearch BPO Services,3.2,76,19 years old,,Chennai +3 more,201-500 Employees
9264,Realistic Realtors,3.8,76,26 years old,,Gurgaon +12 more,201-500 Employees
9265,Bafna Motors,3.6,76,Conglomerate,Navi Mumbai +12 more,68 years old,201-500 Employees
9266,Skylark Group,3.7,76,39 years old,,Safidon +19 more,501-1k Employees (Global)
9267,Bird Group,3.3,76,Conglomerate,Delhi/NCR +8 more,53 years old,1k-5k Employees
9268,Weather Risk Management Services,3.1,76,20 years old,,Gurgaon/Gurugram +12 more,201-500 Employees
9269,Rajasthan Antibiotics,3.9,76,33 years old,,New Delhi +5 more,201-500 Employees
9270,TNPL,4.2,76,39 years old,,Chennai +6 more,201-500 Employees
9271,Rakesh Masala,4.2,76,28 years old,,Noida +19 more,201-500 Employees
9272,Zicom Electronic Security Systems,3.4,76,Public,Mumbai +13 more,30 years old,201-500 Employees
9273,Skypack,3.6,76,51 years old,,Faridabad +5 more,201-500 Employees
9274,Vikram Tea,4.3,76,49 years old,,Jalna +20 more,51-200 Employees
9275,Rajhans (Desai-Jain) Group,3.5,76,28 years old,,Surat +12 more,201-500 Employees
9276,Andhra Petrochemicals,3.9,76,Public,Tanuku +3 more,40 years old,501-1k Employees
9277,Cello,3.9,76,Mumbai +16 more,,,57 years old
9278,Lotus Valley International School,3.9,76,20 years old,,Noida +6 more,201-500 Employees
9279,Derewala Jewellery Industries,3.3,76,37 years old,,Jaipur,201-500 Employees
9280,Click Labs,3.4,76,13 years old,,Chandigarh +4 more,201-500 Employees
9281,GETIT Infoservices,2.8,76,38 years old,,Delhi +21 more,11-50 Employees
9282,DreamOrbit,4.2,76,14 years old,,Bangalore/Bengaluru +4 more,201-500 Employees
9283,KRIBHCO Fertilizers Limited,4.3,76,Public,Noida +10 more,29 years old,1-10 Employees
9284,Andhra Pradesh State Road Transport Corporation,4.2,76,66 years old,,Vijayawada +19 more,State
9285,Rivoli Group,3.3,76,36 years old,,Dubai +5 more,1k-5k Employees
9286,ROCKWOOL,3.5,76,37 years old,,Hyderabad +5 more,51-200 Employees
9287,Edufic Digital,4.1,76,Chennai +3 more,,,201-500 Employees
9288,Miric Biotech,1.9,76,24 years old,,Delhi/NCR +17 more,1-10 Employees
9289,Information Evolution,3.7,76,17 years old,,Austin +2 more,201-500 Employees (Global)
9290,Institutional Shareholder Services,3.6,76,39 years old,,Rockville +5 more,501-1k Employees
9291,Sutures India,3.3,76,32 years old,,Bangalore +19 more,201-500 Employees
9292,SP Software,3.8,76,29 years old,,Hyderabad +4 more,501-1k Employees
9293,Verint Systems,4.4,76,30 years old,,Melville +4 more,501-1k Employees
9294,Suhail Bahwan Group,3.8,76,59 years old,,Muscat +10 more,1k-5k Employees
9295,Mahesh Tutorials,3.3,76,36 years old,,Mumbai +11 more,11-50 Employees (Global)
9296,AIT Global,4.2,76,21 years old,,Pune +3 more,51-200 Employees
9297,Ventech (India),4.4,76,12 years old,,Pune +5 more,11-50 Employees (Global)
9298,Sumitomo Mitsui Banking Corporation,2.5,76,23 years old,,New York +3 more,201-500 Employees
9299,Axis Mutual Fund,4.2,76,Public,Mumbai +26 more,15 years old,501-1k Employees
9300,TekFriday Processing Solutions,3.7,76,11 years old,,Hyderabad/Secunderabad,201-500 Employees
9301,Fourth Dimension Technologies,3.8,76,35 years old,,Chennai +11 more,51-200 Employees
9302,Textronics Design Systems,2.2,76,34 years old,,Navi Mumbai +1 more,51-200 Employees
9303,Lansum Properties,4.3,76,10 years old,,Hyderabad/Secunderabad +2 more,11-50 Employees
9304,Skypack,3.6,76,51 years old,,Faridabad +5 more,201-500 Employees
9305,Zicom Electronic Security Systems,3.4,76,Public,Mumbai +13 more,30 years old,201-500 Employees
9306,TNPL,4.2,76,39 years old,,Chennai +6 more,201-500 Employees
9307,Gopaldas Visram Pvt.ltd,3.4,76,79 years old,,Mumbai +5 more,51-200 Employees
9308,Panasonic Energy India Co,3.4,76,Public,Vadodara +15 more,52 years old,501-1k Employees
9309,Ess Kay Fabrication,3.4,76,33 years old,,Gurgaon/Gurugram +6 more,11-50 Employees
9310,Jones Lang Lasalle Property and Asset  management.,4.3,76,Gurgaon/Gurugram +17 more,,,1k-5k Employees
9311,CREW(P)LTD,4.1,76,40 years old,,Chennai +11 more,10k-50k Employees
9312,Any wear,4.2,76,Bengaluru/Bangalore +25 more,,,1-10 Employees (Global)
9313,Cozmo Travel,3.9,76,14 years old,,Sharjah +12 more,51-200 Employees
9314,Eqic Dies & Moulds Engineers,3.5,76,36 years old,,Hyderabad,201-500 Employees
9315,RICE GROUP,3.1,76,39 years old,,Kolkata +9 more,1k-5k Employees (Global)
9316,Alexis Global,3.3,76,11 years old,,New Delhi +20 more,501-1k Employees (Global)
9317,Tiwana Oil Mills,3.8,76,25 years old,,Fatehgarh Sahib +22 more,501-1k Employees
9318,Velammal Medical College Hospital & Research Institute,3.7,76,11 years old,,Madurai +3 more,51-200 Employees
9319,Spectro Analytical Labs,3.3,76,29 years old,,New Delhi +7 more,201-500 Employees
9320,Sekhani Industries,3.5,76,54 years old,,Ahmedabad +20 more,51-200 Employees
9321,Intelligent Image Management Inc,2.5,76,Henderson +1 more,,,11-50 Employees
9322,Swan Solutions & Services,4.4,76,35 years old,,Mumbai +6 more,201-500 Employees
9323,Unitech Power Transmission,3.8,76,Public,Gurgaon/Gurugram +16 more,29 years old,201-500 Employees
9324,CISB,3.9,76,20 years old,,Mumbai +27 more,1k-5k Employees
9325,Aaa Capital Services,3.3,76,29 years old,,New Delhi +18 more,51-200 Employees
9326,Crimsoune Club,4.2,76,Sonipat +17 more,,,19 years old
9327,Rakesh Masala,4.2,76,28 years old,,Noida +19 more,201-500 Employees
9328,Kyocera Ctc Precision Tools,3.6,76,12 years old,,Gurgaon +7 more,51-200 Employees
9329,Innovare Labs,3.5,76,12 years old,,Hyderabad/Secunderabad +4 more,11-50 Employees
9330,Imperial Electric Company,4.2,76,13 years old,,Kolkata +17 more,501-1k Employees
9331,Spark Engineering,3.7,76,35 years old,,Ghaziabad +13 more,51-200 Employees (Global)
9332,IDP IELTS,3.2,76,,,,Pomona +23 more
9333,Kothari Medical Centre,3.1,76,53 years old,,Kolkata +9 more,201-500 Employees
9334,Roseate Hotels & Resorts,3.6,76,15 years old,,New Delhi +3 more,201-500 Employees
9335,Oxalis Pharmaceuticals,3.9,76,12 years old,,Pune +4 more,501-1k Employees
9336,Indian Institute of Management,3.9,76,Kozhikode +19 more,,,51-200 Employees
9337,Bafna Motors,3.6,76,Conglomerate,Navi Mumbai +12 more,68 years old,201-500 Employees
9338,Skylark Group,3.7,76,39 years old,,Safidon +19 more,501-1k Employees (Global)
9339,Rajasthan Antibiotics,3.9,76,33 years old,,New Delhi +5 more,201-500 Employees
9340,Financepeer,3.0,76,Startup,Mumbai +12 more,7 years old,201-500 Employees
9341,Fortune Business Insights,4.2,76,,,,Pune +2 more
9342,Wardwizard Innovations & Mobility,3.8,76,Public,Vadodara/Baroda +25 more,8 years old,51-200 Employees
9343,Bijlipay,3.7,76,12 years old,,Chennai +24 more,51-200 Employees
9344,Great Champ Technology Limited,3.4,76,14 years old,,Noida +2 more,501-1k Employees
9345,Sirca Paints India,4.2,76,Public,Delhi/NCR +20 more,18 years old,51-200 Employees
9346,Jocata Financial Advisory and Technology,3.4,76,14 years old,,Hyderabad/Secunderabad +4 more,501-1k Employees
9347,Cellplan Technologies,3.5,76,21 years old,,Pune +14 more,51-200 Employees
9348,DPS International,3.7,76,10 years old,,Gurgaon/Gurugram +26 more,51-200 Employees
9349,Diversey India Hygiene,3.8,76,Mumbai +16 more,,,104 years old
9350,Apex Kidney Care,4.1,76,Mumbai +7 more,,,16 years old
9351,Omnist Techhub Solutions,4.9,76,7 years old,,New Delhi +2 more,51-200 Employees
9352,R.K. Group,3.9,76,40 years old,,Kolkata +27 more,51-200 Employees
9353,Arrivae,3.5,76,Startup,Mumbai +13 more,7 years old,201-500 Employees
9354,Data is Good,4.1,76,5 years old,,Noida +3 more,51-200 Employees
9355,IBM Consulting,3.9,76,,,,Bengaluru/Bangalore +9 more
9356,ContactPoint 360,4.3,76,17 years old,,Mississauga +3 more,201-500 Employees
9357,AVYAIT,4.0,76,Hyderabad,,,4 years old
9358,V S International,3.6,76,27 years old,,Mumbai +12 more,51-200 Employees
9359,Ptc Industries,3.3,76,Public,Lucknow +3 more,61 years old,51-200 Employees
9360,Delhi Public School Ghaziabad Society,3.1,76,44 years old,,New Delhi +12 more,1k-5k Employees
9361,Cellplan Technologies,3.5,76,21 years old,,Pune +14 more,51-200 Employees
9362,DPS International,3.7,76,10 years old,,Gurgaon/Gurugram +26 more,51-200 Employees
9363,Birdeye,3.8,76,12 years old,,Palo Alto +1 more,201-500 Employees
9364,S K Patodia & Associates,3.7,76,32 years old,,Mumbai +17 more,10k-50k Employees
9365,Diversey India Hygiene,3.8,76,Mumbai +16 more,,,104 years old
9366,Apex Kidney Care,4.1,76,Mumbai +7 more,,,16 years old
9367,Arrivae,3.5,76,Startup,Mumbai +13 more,7 years old,201-500 Employees
9368,Symsafe Systems,4.6,76,21 years old,,Jaipur +1 more,11-50 Employees
9369,R.K. Group,3.9,76,40 years old,,Kolkata +27 more,51-200 Employees
9370,Fortune Business Insights,4.2,76,,,,Pune +2 more
9371,ContactPoint 360,4.3,76,17 years old,,Mississauga +3 more,201-500 Employees
9372,Data is Good,4.1,76,5 years old,,Noida +3 more,51-200 Employees
9373,AVYAIT,4.0,76,Hyderabad,,,4 years old
9374,Bhutani Group,3.8,76,,,,Noida +9 more
9375,Maruti Suzuki Arena KTL,4.2,76,,,,Lucknow +42 more
9376,Meghmani Group,3.1,76,,,,
9377,Sparkout Tech Solutions,4.8,76,7 years old,,Dover,51-200 Employees
9378,Sevalaya,4.7,76,,,,
9379,Omnist Techhub Solutions,4.9,76,7 years old,,New Delhi +2 more,51-200 Employees
9380,Meghmani Group,3.1,76,,,,
9381,Unique Enterprises,3.3,76,26 years old,,New Delhi +20 more,11-50 Employees
9382,R K Marbles,3.6,75,35 years old,,Kishangarh +15 more,1k-5k Employees
9383,Maharishi Ayurveda Products,4.2,75,38 years old,,New Delhi +12 more,501-1k Employees
9384,Signet Industries,3.4,75,Indore +18 more,,,39 years old
9385,JK Trust Gram Vikas Yojana,4.3,75,79 years old,,Thane +28 more,51-200 Employees
9386,BRG Group,3.6,75,30 years old,,Kolkata +7 more,1k-5k Employees (Global)
9387,Redco International Wll,4.1,75,42 years old,,Doha +4 more,5k-10k Employees (Global)
9388,Nipro Medical,4.1,75,70 years old,,Osaka +23 more,501-1k Employees
9389,Bhartiya City Developers,3.5,75,37 years old,,Bengaluru +4 more,201-500 Employees
9390,Cades Studec Technologies,3.7,75,18 years old,,Bengaluru +1 more,51-200 Employees
9391,Rucha Group Of Industries,3.0,75,Public,Aurangabad +5 more,30 years old,1k-5k Employees
9392,Freshersworld.com,4.0,75,18 years old,,Bangalore +18 more,1k-5k Employees
9393,Infoplus Technologies,3.6,75,24 years old,,Borehamwood +4 more,201-500 Employees
9394,Cambata Aviation,4.9,75,70 years old,,New Delhi +6 more,1k-5k Employees
9395,Swarovski India,3.9,75,129 years old,,Wattens +14 more,501-1k Employees
9396,ESRI India Technologies,3.8,75,28 years old,,New Delhi +10 more,201-500 Employees
9397,Wadhokar,3.2,75,56 years old,,Pune +4 more,51-200 Employees
9398,Surevin Bpo Services,3.3,75,Public,Bhopal +11 more,17 years old,501-1k Employees (Global)
9399,Edify School,3.7,75,,,,Firozabad +17 more
9400,Medicamen Biotech,3.6,75,Public,New Delhi +5 more,31 years old,51-200 Employees
9401,Kich Architectural Products,3.8,75,21 years old,,Rajkot +19 more,51-200 Employees
9402,Tarachandra Engineering,3.5,75,26 years old,,Vadodara +12 more,51-200 Employees
9403,ERD Technologies,3.6,75,27 years old,,Noida +4 more,501-1k Employees
9404,Saveetha University,4.1,75,36 years old,,Chennai +13 more,201-500 Employees
9405,R K Marbles,3.6,75,35 years old,,Kishangarh +15 more,1k-5k Employees
9406,Bharat Cooperative Bank,4.0,75,Mumbai +13 more,,,1k-5k Employees
9407,Srikalahasthi Pipes,3.8,75,Public,Chittoor +5 more,33 years old,1k-5k Employees
9408,Redco International Wll,4.1,75,42 years old,,Doha +4 more,5k-10k Employees (Global)
9409,Bhartiya City Developers,3.5,75,37 years old,,Bengaluru +4 more,201-500 Employees
9410,Edify School,3.7,75,,,,Firozabad +17 more
9411,Nipro Medical,4.1,75,70 years old,,Osaka +23 more,501-1k Employees
9412,Swarovski India,3.9,75,129 years old,,Wattens +14 more,501-1k Employees
9413,Prabhudas Lilladher,2.9,75,30 years old,,Mumbai +15 more,201-500 Employees
9414,IILM,4.4,75,31 years old,,New Delhi +6 more,51-200 Employees
9415,Zenith Software,4.4,75,28 years old,,Banglore +11 more,201-500 Employees
9416,Infoplus Technologies,3.6,75,24 years old,,Borehamwood +4 more,201-500 Employees
9417,Power2sme,4.0,75,Startup,Gurgaon +8 more,12 years old,51-200 Employees
9418,Schbang,3.6,75,9 years old,,Mumbai +3 more,501-1k Employees
9419,Coupa Software Inc,3.8,75,Public,San Mateo +2 more,18 years old,501-1k Employees
9420,Zenith Software,4.4,75,28 years old,,Banglore +11 more,201-500 Employees
9421,Kewaunee Labway,4.2,75,118 years old,,Statesville +5 more,201-500 Employees
9422,YLG Salon & Spa,3.6,75,15 years old,,Bangalore +4 more,51-200 Employees
9423,Saveetha University,4.1,75,36 years old,,Chennai +13 more,201-500 Employees
9424,Tarachandra Engineering,3.5,75,26 years old,,Vadodara +12 more,51-200 Employees
9425,Bharat Cooperative Bank,4.0,75,Mumbai +13 more,,,1k-5k Employees
9426,IILM,4.4,75,31 years old,,New Delhi +6 more,51-200 Employees
9427,ARCOP Associates,3.9,75,54 years old,,New Delhi +5 more,51-200 Employees
9428,United Biscuits,4.6,75,76 years old,,Hayes +21 more,501-1k Employees
9429,Arshiya International,4.1,75,Public,Mumbai +9 more,43 years old,201-500 Employees
9430,Mettl,3.9,75,15 years old,,Gurgaon +5 more,501-1k Employees
9431,Schenck Process India,3.4,75,143 years old,,Darmstadt +8 more,201-500 Employees
9432,Apex Auto,4.1,75,Public,Jamshedpur +13 more,30 years old,201-500 Employees
9433,Mallcom,3.7,75,Public,Kolkata +7 more,41 years old,1k-5k Employees
9434,Power2sme,4.0,75,Startup,Gurgaon +8 more,12 years old,51-200 Employees
9435,Desein,4.0,75,59 years old,,New Delhi +11 more,501-1k Employees
9436,Mcnally Sayaji Engineering,3.8,75,Public,Kolkata +7 more,63 years old,201-500 Employees
9437,Formel D,3.8,75,31 years old,,Troisdorf +8 more,201-500 Employees
9438,Lincoln Electric,3.7,75,129 years old,,Cleveland +2 more,51-200 Employees
9439,DNV,4.1,75,160 years old,,Oslo +14 more,501-1k Employees
9440,Viswaat Chemicals,3.6,75,Public,Mumbai +8 more,26 years old,201-500 Employees
9441,CNK & Associates,4.0,75,22 years old,,Mumbai +9 more,51-200 Employees (Global)
9442,Inamdar Multispeciality Hospital,4.3,75,14 years old,,Pune +1 more,201-500 Employees
9443,Bharuch Enviro Infrastructure,4.3,75,27 years old,,Ankleshwar +3 more,51-200 Employees
9444,Gia India Laboratory,4.1,75,93 years old,,Mumbai +4 more,51-200 Employees
9445,Blue Consulting,3.9,75,19 years old,,Noida +4 more,51-200 Employees
9446,Pooja Forge,3.5,75,Public,Faridabad +3 more,38 years old,51-200 Employees
9447,Health Prime International,3.2,75,National Harbor +1 more,,,20 years old
9448,Klm Axiva Finvest,3.9,75,24 years old,,Aluva +35 more,1k-5k Employees
9449,Fluidline Engineers And Fabricators,3.8,75,36 years old,,Kanpur +11 more,51-200 Employees
9450,Red Tag,3.9,75,18 years old,,Al Khobar +12 more,11-50 Employees
9451,Virgo Laminates,3.9,75,31 years old,,Delhi/NCR +23 more,1k-5k Employees
9452,Vegazva Engineering,3.5,75,17 years old,,Gurgaon/Gurugram +5 more,51-200 Employees
9453,Shreeja Mahila Milk Producer Company,4.4,75,,,,Tirupati +9 more
9454,Merkle,3.6,75,,,,Bengaluru/Bangalore +7 more
9455,DentalKart,4.3,75,9 years old,,new delhi +3 more,Startup
9456,JPM Group,3.5,75,,,,Gurgaon/Gurugram +10 more
9457,Optimus Pharma,3.8,75,,,,Hyderabad/Secunderabad +2 more
9458,Dynata,3.9,75,84 years old,,Plano +6 more,5k-10k Employees
9459,Blue Rose Publishers,4.2,75,Noida +3 more,,,51-200 Employees
9460,Cropdata Technology,3.4,75,8 years old,,Nagpur +10 more,501-1k Employees
9461,Achievers Spot,4.6,75,14 years old,,Chennai +6 more,201-500 Employees
9462,ASC Technology Solutions,4.4,75,Ahmedabad +4 more,,,51-200 Employees
9463,Bijak,3.5,75,Startup,Gurgaon +9 more,5 years old,51-200 Employees
9464,Jungleworks,3.5,75,7 years old,,Seattle +4 more,201-500 Employees
9465,EOX Vantage,3.7,75,Bengaluru/Bangalore +1 more,,,201-500 Employees
9466,EzappSolution,4.8,75,16 years old,,Gurgaon/Gurugram +8 more,51-200 Employees
9467,Infotree Global Solutions,4.4,75,,,,
9468,Devon Software Services,4.2,75,20 years old,,Bangalore/Bengaluru +2 more,201-500 Employees
